id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans
1,"","BY","ST2664","YPD",30,20,0,0,13,3,2,2,16|large bud,41|single,43|single,19|single,25|cluster,35|large bud,40|single,40|small bud,21|small bud,26|single,48|single,51|single,21|small bud,13|single,26|single,35|single,37|single,6|single,26|cluster,25|single,
2,"","BY","ST2664","YPD",30,20,0,0,13,3,2,2,41|single,42|single,30|cluster,26|cluster,42|single,30|single,34|large bud,34|single,43|small bud,42|single,33|large bud,47|single,35|single,18|single,32|small bud,29|small bud,38|single,40|single,18|single,34|single,
3,"1, 2","BY sml1KO","ST2665","YPD",30,20,0,0,9,5,2,4,20|cluster,22|single,28|cluster,29|small bud,33|single,42|small bud,30|single,24|large bud,33|small bud,31|single,20|cluster,32|single,30|large bud,17|small bud,41|single,44|single,29|cluster,32|single,41|small bud,29|single,
4,"1, 2","BY sml1KO","ST2665","YPD",30,20,0,0,13,5,1,1,34|small bud,52|single,33|single,52|single,17|single,37|single,41|single,42|single,37|single,34|small bud,47|single,34|large bud,37|single,31|cluster,24|single,22|small bud,65|single,44|small bud,36|single,22|small bud,
5,"1, 2","BY sml1KO mec1KO","ST2666","YPD",30,20,0,0,11,6,2,1,12|small bud,5|large bud,7|single,23|single,38|single,7|large bud,39|single,7|cluster,17|small bud,11|single,5|single,6|small bud,7|single,7|small bud,27|single,29|single,2|single,4|small bud,28|single,18|small bud,
6,"1, 2","BY sml1KO mec1KO","ST2666","YPD",30,20,0,0,9,7,1,3,12|large bud,12|small bud,11|cluster,15|small bud,2|small bud,1|small bud,23|cluster,8|single,13|small bud,21|single,3|small bud,35|single,20|single,3|single,14|single,3|cluster,15|small bud,8|single,5|single,26|single,
7,"1, 2","BY RM rDNA (backcross #10)","ST2667","YPD",30,20,0,0,18,2,0,0,48|single,49|single,46|single,49|single,56|single,44|single,57|single,36|single,51|single,49|single,36|single,10|small bud,49|single,44|single,30|single,16|single,35|small bud,50|single,49|single,40|single,
8,"1, 2","BY RM rDNA (backcross #10)","ST2667","YPD",30,20,0,0,16,1,0,2,42|single,42|single,46|single,30|single,33|single,32|cluster,29|small bud,45|single,48|single,19|single,40|single,36|cluster,49|single,49,43|single,42|single,46|single,21|single,45|single,36|single,
9,"1, 2","BY  RM rDNA sml1KO","ST2668","YPD",30,20,0,0,16,1,1,2,42|single,34|cluster,48|large bud,27|single,45|small bud,53|single,45|single,35|single,39|single,38|single,8|single,43|single,47|single,22|single,28|cluster,16|single,27|single,22|single,34|single,39|single,
10,"1, 2","BY  RM rDNA sml1KO","ST2668","YPD",30,20,0,0,15,3,1,1,41|single,41|single,32|single,26|small bud,32|single,51|single,46|single,45|single,52|single,30|large bud,47|single,33|small bud,23|small bud,42|single,42|single,47|single,23|single,47|single,50|single,32|cluster,
11,"1, 2","BY RM rDNA sml1KO mec1KO","ST2669","YPD",30,20,0,0,6,7,4,3,4|small bud,3|small bud,6|large bud,25|single,4|large bud,12|cluster,11|single,35|small bud,3|small bud,21|single,7|small bud,28|cluster,32|single,4|small bud,22|large bud,5|large bud,27|cluster,6|single,35|small bud,21|single,
12,"1, 2","BY RM rDNA sml1KO mec1KO","ST2669","YPD",30,20,0,0,11,4,4,1,4|single,34|single,23|single,5|large bud,14|small bud,10|cluster,5|large bud,56|single,10|small bud,24|single,18|small bud,11|single,13|single,7|single,6|single,15|single,2|large bud,10|small bud,6|large bud,33|single,
13,"1, 2","BY wild rDNA (Y12) backcross #8","ST2670","YPD",30,20,0,0,17,2,0,1,30|single,22|cluster,43|single,46|single,45|single,44|single,49|single,48|single,53|single,43|single,33|single,33|single,46|single,50|single,45|single,26|single,37|small bud,40|single,10|single,47|small bud,
14,"1, 2","BY wild rDNA (Y12) backcross #8","ST2670","YPD",30,20,1,0,17,2,0,0,33|single,45|single,7|single,52|single,,10|single,50|single,25|single,37|small bud,18|single,43|single,35|single,28|single,38|single,34|single,22|single,27|single,16|single,43|small bud,30|single,
15,"1, 2","BY wild rDNA (Y12) backcross #8","ST2671","YPD",30,20,0,0,16,1,2,1,49|single,21|single,70|single,45|single,28|single,47|single,30|single,5|cluster,44|single,48|single,42|single,5|large bud,45|large bud,33|single,38|single,29|single,30|small bud,39|single,26|single,37|single,
16,"1, 2","BY wild rDNA (Y12) backcross #8","ST2671","YPD",30,20,0,0,15,4,1,0,24|small bud,30|single,27|small bud,30|single,33|single,41|single,20|single,41|single,17|single,19|single,47|large bud,26|single,41|single,21|single,5|single,18|single,45|single,44|single,27|small bud,31|small bud,
17,"1, 2","BY wild rDNA (Y12) backcross #8","ST2672","YPD",30,20,0,0,11,4,3,2,27|cluster,43|single,45|single,22|small bud,49|single,51|large bud,47|single,32|large bud,20|small bud,42|cluster,31|large bud,42|single,36|single,43|single,37|small bud,30|small bud,37|single,46|single,18|single,47|single,
18,"1, 2","BY wild rDNA (Y12) backcross #8","ST2672","YPD",30,20,0,0,15,2,3,0,43|single,42|single,25|single,45|small bud,35|small bud,48|single,43|single,44|single,45|single,30|large bud,48|single,28|single,45|single,45|single,49|single,47|large bud,43|single,45|single,25|large bud,47|single,
19,"1, 2","BY wild rDNA (Y12) backcross #8","ST2673","YPD",30,20,0,0,17,3,0,0,32|single,22|small bud,54|single,20|single,54|single,51|single,50|single,38|single,41|single,47|single,47|single,33|single,45|small bud,44|single,18|single,3|small bud,37|single,44|single,47|single,49|single,
20,"1, 2","BY wild rDNA (Y12) backcross #8","ST2673","YPD",30,20,0,0,15,2,3,0,37|single,26|single,22|single,21|single,47|single,18|single,42|single,48|single,31|large bud,21|large bud,29|single,3|small bud,26|large bud,49|single,32|single,34|small bud,35|single,37|single,44|single,23|single,
