id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans
22,"8","atg13 phb2","JS115","0.05% D",30,20,0,0,16,3,1,0,25|single,27|single,18|single,30|large bud,24|single,21|single,41|small bud,23|single,22|single,12|single,41|single,44|single,23|single,30|single,20|small bud,21|single,21|single,13|single,12|small bud,16|single,
23,"8","atg32phb1","JS956","0.05% D",30,20,0,0,16,1,3,0,21|large bud,43|single,33|single,36|single,29|single,25|single,24|large bud,39|single,42|single,47|single,28|single,31|small bud,39|single,30|single,18|single,12|single,28|single,20|large bud,20|single,13|single,
24,"8","atg32phb1","JS956","0.05% D",30,20,0,0,13,5,2,0,36|single,31|single,24|small bud,25|single,24|small bud,29|single,33|single,27|single,28|single,25|small bud,11|single,26|single,28|large bud,27|small bud,27|small bud,14|single,38|large bud,26|single,48|single,38|single,
25,"8","atg32 phb2","JS958","3% Gly",30,20,0,0,15,4,0,1,15|cluster,21|small bud,28|single,22|single,24|single,26|single,17|single,41|small bud,45|single,49|single,39|single,17|single,31|single,28|small bud,37|single,43|single,48|single,29|single,28|small bud,40|single,
26,"8","atg32phb1","JS956","3% Gly",30,20,0,0,12,5,3,0,7|single,39|small bud,36|single,40|small bud,29|single,18|single,18|single,8|large bud,20|single,46|single,25|large bud,37|single,19|single,32|single,17|small bud,30|single,18|large bud,23|small bud,48|small bud,27|single,
27,"8","atg13 phb2","JS283","3% Gly",30,20,0,0,0,0,0,0,39,34,36,12,21,17,2,25,13,24,49,43,25,31,39,21,29,18,34,17,
28,"8","atg32 phb2","JS958","3% Gly",30,20,0,0,17,2,0,1,13|cluster,31|single,34|single,39|single,49|single,33|single,27|single,33|single,25|single,31|single,37|small bud,47|single,32|single,57|small bud,26|single,18|single,20|single,29|single,14|single,31|single,
29,"8","atg13 phb2","JS283","3% Gly",30,20,0,0,19,1,0,0,36|single,12|single,48|single,20|single,45|single,14|single,32|single,32|single,51|single,31|single,47|small bud,28|single,15|single,33|single,18|single,30|single,19|single,28|single,17|single,50|single,
30,"8","atg32","JS991","3% Gly",30,20,0,0,8,12,0,0,29|single,26|small bud,23|single,8|small bud,18|single,24|single,25|small bud,20|small bud,20|small bud,7|small bud,20|single,25|small bud,25|small bud,17|single,26|single,31|small bud,18|small bud,9|single,15|small bud,9|small bud,
31,"8","atg13","JS641","3% Gly",30,20,3,0,7,6,0,0,26|single,35|single,26|single,35|single,32|small bud,37,18,,31,18,37|single,29|small bud,50|small bud,38|small bud,,,26|single,21|small bud,43|single,42|small bud,
32,"8","BY4742","GS2422","3% Gly",30,20,0,0,20,0,0,0,31|single,26|single,20|single,16|single,43|single,7|single,16|single,23|single,19|single,37|single,21|single,23|single,50|single,19|single,24|single,33|single,48|single,21|single,35|single,27|single,
33,"8","phb2","JS11","3% Gly",30,20,0,0,0,0,0,0,30,40,27,41,28,23,16,21,19,59,34,21,24,43,40,22,24,41,33,34,
