id,reference,label,strain,media,temperature,cell_count,end_lost,omit_count,end_single,end_small_bud,end_large_bud,end_cluster,lifespans
33,"4","THC TetO UTP20","THC:3G6","YPD",30,10,0,0,8,0,2,0,24|single,16|single,44|single,22|large bud,10|single,40|single,19|single,29|large bud,28|single,11|single,
34,"4","THC TetO YDR365c","THC:3H6","YPD",30,10,0,0,8,2,0,0,24|small bud,30|single,26|single,27|single,4|small bud,17|single,16|single,33|single,25|single,6|single,
35,"4","THC TetO YDR527W","THC:3A7","YPD",30,10,0,0,6,2,1,0,20|large bud,25|small bud,33|single,26|single,33|single,21|single,20|single,22|single,21,13|small bud,
36,"4","THC TetO NUG1","THC:3B7","YPD",30,10,0,0,7,3,0,0,33|single,18|small bud,37|single,19|single,33|small bud,14|small bud,25|single,21|single,30|single,16|single,
37,"4","THC TetO YGL245W","THC:3C7","YPD",30,10,0,0,6,1,3,0,27|small bud,21|single,17|large bud,44|single,46|single,39|single,46|single,31|single,20|large bud,20|large bud,
38,"4","TetO WT","JD919","YPD",30,10,0,0,6,1,3,0,27|single,39|single,25|single,28|large bud,18|single,20|single,11|single,15|large bud,28|large bud,36|small bud,
39,"4","THC TetO UTP22","THC:3D7","YPD",30,10,0,0,9,1,0,0,20|single,36|single,11|single,24|single,26|single,26|single,21|single,17|single,13|single,20|small bud,
40,"4","THC TetO ZPR1","THC:3E7","YPD",30,10,0,0,5,1,3,1,43|single,52|single,53|single,39|cluster,23|large bud,39|single,57|large bud,40|small bud,48|single,44|large bud,
41,"4","THC TetO YGR251w","THC:3F7","YPD",30,10,0,0,5,3,2,0,37|large bud,30|single,50|single,22|single,46|single,25|small bud,31|small bud,37|large bud,38|small bud,45|single,
42,"4","THC TetO YKL082C","THC:3G7","YPD",30,10,1,0,6,2,0,1,14|single,50|small bud,35|cluster,42|single,34|single,44|small bud,47|single,,46|single,44|single,
43,"4","THC TetO RPL17A","THC:3H7","YPD",30,10,0,0,6,1,2,1,23|single,43|single,19|large bud,24|single,32|single,46|single,30|large bud,21|small bud,34|cluster,36|single,
44,"4","THC TetO RSC58","THC:3A8","YPD",30,10,1,0,9,0,0,0,34|single,43|single,30|single,,16|single,32|single,37|single,26|single,39|single,40|single,
45,"4","THC TetO YLR424W","THC:3B8","YPD",30,10,0,0,4,5,0,1,32|small bud,13|small bud,16|single,21|small bud,27|single,26|single,36|single,19|cluster,27|small bud,37|small bud,
46,"4","THC TetO IPI2","THC:3C8","YPD",30,10,0,0,6,0,1,3,22|single,18|cluster,37|single,41|single,23|single,11|large bud,48|single,19|single,30|cluster,35|cluster,
47,"4","THC TetO SEC18","THC:3D8","YPD",30,10,0,0,8,1,1,0,14|single,38|large bud,20|single,57|single,30|single,8|single,7|single,25|single,36|single,34|small bud,
48,"4","THC TetO SUP45","THC:3E8","YPD",30,10,0,0,7,2,1,0,47|small bud,2|large bud,28|single,44|single,22|single,45|single,39|single,33|single,46|single,12|small bud,
49,"4","THC TetO SQT1","THC:3F8","YPD",30,10,0,0,4,3,1,2,22|large bud,43|single,29|small bud,32|small bud,28|single,25|single,28|small bud,14|cluster,36|cluster,38|single,
50,"4","THC TetO HAS1","THC:3G8","YPD",30,10,0,0,6,1,0,3,23|single,12|single,11|cluster,13|single,13|cluster,16|cluster,24|single,21|small bud,12|single,33|single,
51,"4","THC TetO NOG2","THC:3H8","YPD",30,10,0,0,10,0,0,0,33|single,37|single,33|single,31|single,38|single,48|single,38|single,44|single,24|single,32|single,
52,"4","THC TetO SME1","THC:3A9","YPD",30,10,0,0,3,5,2,0,4|small bud,29|large bud,17|large bud,2|single,3|single,10|small bud,10|small bud,12|small bud,1|small bud,4|single,
53,"4","THC TetO SRP68","THC:3B9","YPD",30,10,0,0,7,0,2,1,15|single,34|single,34|large bud,19|large bud,22|single,13|cluster,11|single,24|single,31|single,33|single,
54,"4","THC TetO UTP19","THC:3C9","YPD",30,10,0,0,7,2,1,0,2|single,38|single,40|single,33|single,20|small bud,39|large bud,23|single,25|small bud,43|single,8|single,
55,"4","THC TetO NOG1","THC:3D9","YPD",30,10,0,0,8,2,0,0,19|single,20|single,34|single,21|single,24|small bud,37|single,41|single,24|single,23|small bud,14|single,
56,"4","THC TetO PRP4","THC:3E9","YPD",30,10,0,0,9,1,0,0,38|single,18|single,25|single,17|small bud,11|single,28|single,23|single,23|single,14|single,15|single,
57,"4","TetO WT","JD436","YPD",30,10,0,0,7,1,0,2,19|cluster,22|single,16|single,30|single,23|cluster,24|single,3|single,22|small bud,21|single,24|single,
58,"4","THC TetO RPO21","THC:3F9","YPD",30,10,0,0,6,0,2,2,18|large bud,21|single,27|cluster,18|cluster,22|large bud,15|single,23|single,27|single,5|single,8|single,
59,"4","THC TetO LSM5","THC:3G9","YPD",30,10,0,0,9,1,0,0,34|small bud,44|single,20|single,27|single,18|single,11|single,17|single,14|single,28|single,29|single,
60,"4","THC TetO DRE3","THC:3H9","YPD",30,10,0,0,10,0,0,0,31|single,1|single,1|single,18|single,17|single,36|single,3|single,17|single,17|single,3|single,
